Kode,Basic_EPS,EBITDA,DIS,EPR,Net_Income,Sub_Sektor
MPPA.JK,-0.3235852078,-0.0531812955,0.3310110050,-0.0640987700,-0.0835808836, Food & Staples Retailing 
MPRO.JK,-0.2516588402,-0.1127660209,-0.1525342539,-0.0327664893,-0.0337988408,Properties & Real Estate
MRAT.JK,-0.3818989733,-0.1093350329,-0.1498179858,-0.0643947427,-0.0280901304, Nondurable Household Products 
MSIN.JK,-0.2146800250,-0.0093555944,0.1372690577,-0.0654720329,0.0358947868,Media & Entertainment
MSKY.JK,-0.3575761479,-0.1611514337,-0.1531042033,-0.0613948167,-0.0880616066,Media & Entertainment
MTEL.JK,-0.1267955550,0.6040560338,-0.1461594284,-0.0688597224,0.4376428918,Telecommunication
MTFN.JK,-0.2382947833,-0.1146710324,-0.1526683857,-0.0638413936,-0.0316297170,"Oil, Gas, & Coal"
MTLA.JK,0.0098390789,-0.0206936251,-0.1462283276,-0.0678306910,0.0712330759,Properties & Real Estate
MTMH.JK,-0.2618648167,-0.0959162252,-0.0899327855,-0.0645658978,-0.0277890803,Helathcare Equipment & Providers
MTPS.JK,-0.2682157555,-0.1117788712,-0.1525213695,0.0839458593,-0.0284930054,Heavy Constructions & Civil
MYOH.JK,-0.2340977967,-0.1099607988,-0.1531037101,-0.0658187969,-0.0248328515,"Oil, Gas, & Coal"
MYOR.JK,0.4054310060,0.6823111490,-0.0164606182,-0.0658689091,0.7099067473,Food & Beverage
MYTX.JK,-0.4302094197,-0.1463705363,-0.1526901430,-0.0633584166,-0.1029655260,Apparel & Luxury Goods
NASA.JK,-0.2315413202,-0.1085241253,-0.1525208598,-0.0693298097,-0.0233786328,Consumer Services
NATO.JK,-0.2337775663,-0.1095271277,-0.1527007245,-0.0647269211,-0.0246830447,Consumer Services
NETV.JK,-0.4756499396,-0.1996588527,-0.1172889345,-0.0537917856,-0.1698660719,Media & Entertainment
NFCX.JK,-2.1059627633,-0.1873637008,-0.1329995202,-0.0644469209,-0.0886157904,Software & IT Service
NIKL.JK,-0.2341420744,-0.1099650646,-0.1531038239,-0.0641825538,-0.0248379467,Basic Materials
NIRO.JK,-0.2482684407,-0.0705274653,-0.1386346422,-0.0666941082,-0.0409993517,Properties & Real Estate
NRCA.JK,-0.0507631892,-0.0885047045,-0.1415623890,-0.0651355383,-0.0019449020,Heavy Constructions & Civil
OMED.JK,-0.1912441663,-0.0448351700,-0.1245456702,-0.0662405497,0.0348290775,Helathcare Equipment & Providers
OMRE.JK,-0.4871442443,-0.1375290250,-0.1510694627,-0.0461800517,-0.0624829498,Properties & Real Estate
PALM.JK,-2.2500122390,-0.6685419806,-0.1522351820,0.3919777872,-0.7849377614,Food & Beverage
PANI.JK,-0.1454905720,0.0304570542,-0.1448279578,-0.0680169464,0.0372858296,Food & Beverage
PANS.JK,0.5857618878,-0.0773463621,-0.1412154496,-0.0675735957,0.0051661653,Investment Service
PBID.JK,-0.0110139155,-0.0200874315,-0.1273274848,-0.0654744471,0.0612375641,Basic Materials
PBRX.JK,-0.2341355490,-0.1099606832,-0.1531031465,-0.0650758871,-0.0248373830,Apparel & Luxury Goods
PBSA.JK,0.0533564271,-0.0687996467,-0.1511797651,-0.0662368380,0.0195234666,Heavy Constructions & Civil
PCAR.JK,-0.1992499272,-0.1082501155,-0.1525802078,-0.0650798754,-0.0227197097, Food & Staples Retailing 
PDPP.JK,-0.2165792240,-0.1062485037,-0.1522547982,-0.0650458865,-0.0220569200,Basic Materials
PEHA.JK,-0.2028279209,-0.0946027296,-0.1369452461,-0.0651102961,-0.0234661475,Phramaceuticals & Helath Care
PGAS.JK,-0.2340839320,-0.1098552363,-0.1530935077,-0.0658594788,-0.0247731277,"Oil, Gas, & Coal"
PGLI.JK,-0.7048651602,-0.1099958600,-0.1504086677,-0.0630005232,-0.0366686555,Consumer Services
PGUN.JK,-0.1499183392,-0.0762862780,-0.1505890692,-0.0667391172,0.0000215319,Food & Beverage
PICO.JK,-0.1860113506,-0.1071560050,-0.1520830349,-0.0646412976,-0.0235350906,Basic Materials
PJAA.JK,0.4233209744,-0.0286035202,-0.1402030757,-0.0677370537,0.0292649180,Consumer Services
PLIN.JK,0.5416183907,0.0149401882,-0.0938387363,-0.0695415199,0.1162462010,Properties & Real Estate
PMJS.JK,-0.1619046181,-0.0380525746,-0.0831240441,-0.0647588054,0.0262711677,Retailing
PNGO.JK,0.8616252012,-0.0563231623,-0.1368665780,-0.0658765482,0.0191834250,Basic Materials
POLI.JK,-0.0286243532,-0.0807694471,-0.1428488038,-0.0674927505,-0.0035121294,Properties & Real Estate
POLL.JK,-0.2266663038,-0.0981332059,-0.1511889065,-0.0656752750,-0.0216361248,Properties & Real Estate
POLU.JK,-0.3235852078,-0.1121293015,-0.1518369392,-0.0634149618,-0.0282803152,Apparel & Luxury Goods
POOL.JK,-0.5089047163,-0.1375566274,-0.1478562482,-0.0565560858,-0.0579284231,Holding & Investment Companies
PORT.JK,-0.1345329664,-0.0758445860,-0.1493087818,-0.0660483397,-0.0104220109,Transportation Infrastructure
POSA.JK,-0.3191127157,-0.1203204562,-0.1500412232,-0.0590550060,-0.0577272182,Properties & Real Estate
POWR.JK,-0.2341134504,-0.1099304497,-0.1530386689,-0.0667364301,-0.0248193945,Utilities
PPRE.JK,-0.1990263026,-0.0364636248,-0.1472287113,-0.0656800161,-0.0063833526,Heavy Constructions & Civil
PPRO.JK,-0.3312778943,-0.1617772426,-0.1531042033,-0.0643945201,-0.3192977293,Properties & Real Estate
PRAY.JK,-0.1646328383,-0.0482074474,-0.1493416557,-0.0655540673,0.0250782014,Helathcare Equipment & Providers
PRDA.JK,1.0056394471,-0.0259713897,0.0000317092,-0.0658772974,0.0349474326,Helathcare Equipment & Providers
PRIM.JK,-0.2377580843,-0.1096776781,-0.1485627280,-0.0642451982,-0.0254689414,Helathcare Equipment & Providers
PSAB.JK,-0.2341371546,-0.1099574286,-0.1530984470,-0.0674354987,-0.0248394224,Basic Materials
PSGO.JK,-0.1038069456,0.0314776302,-0.1491781434,-0.0664793043,0.1015176324,Food & Beverage
PSSI.JK,-0.2341004802,-0.1099565130,-0.1531036075,-0.0674731869,-0.0248277195,"Oil, Gas, & Coal"
PTBA.JK,2.1452304366,1.3950665878,0.1976667230,-0.0662580814,1.3798273356,"Oil, Gas, & Coal"
PTIS.JK,-0.2341268679,-0.1099646674,-0.1531041121,-0.0622273873,-0.0248368657,"Oil, Gas, & Coal"
PTPP.JK,0.1147190189,0.1312061947,-0.1312996911,-0.0652146577,0.0859020840,Heavy Constructions & Civil
PTRO.JK,-0.2340803540,-0.1099583734,-0.1531040784,-0.0651458128,-0.0248342965,"Oil, Gas, & Coal"
PTSN.JK,-0.2341259734,-0.1099617164,-0.1531019637,-0.0655803613,-0.0248345335,Technology Hardware
PTSP.JK,0.0910595356,-0.0956985270,-0.0854295527,-0.0646680602,-0.0211434921,Consumer Services
PWON.JK,-0.0386427356,0.3794841496,-0.0867907184,-0.0689183093,0.4594707629,Properties & Real Estate
PYFA.JK,-0.3870758784,-0.1071695685,-0.1405588066,-0.0643126795,-0.0444423596,Phramaceuticals & Helath Care
PZZA.JK,-0.3773445630,-0.0442941870,0.2976405823,-0.0643672724,-0.0469738180,Consumer Services
RAJA.JK,-0.2341082624,-0.1099558532,-0.1531031889,-0.0667492891,-0.0248312123,"Oil, Gas, & Coal"
RALS.JK,-0.0136415047,0.0109801525,0.2099737642,-0.0650510788,0.0442620084,Retailing
RDTX.JK,4.8041269956,-0.0564893689,-0.1518094609,-0.0701997724,0.0448231634,Properties & Real Estate
RICY.JK,-0.6510610801,-0.1037040423,-0.1409295157,-0.0645183538,-0.0385986441,Apparel & Luxury Goods
RIGS.JK,0.3457509658,-0.0959972114,-0.1523508515,-0.0668141258,-0.0066681766,"Oil, Gas, & Coal"
RISE.JK,-0.2296628735,-0.1023208907,-0.1349472876,-0.0651606659,-0.0218433041,Properties & Real Estate
RMKE.JK,0.0754505382,-0.0362999589,-0.1501458025,-0.0661313191,0.0448354484,"Oil, Gas, & Coal"
RODA.JK,-0.2457638451,-0.1059274348,-0.1526219791,-0.0634603168,-0.0329535030,Properties & Real Estate
ROTI.JK,0.0272370732,-0.0135731217,-0.0948261033,-0.0657284322,0.0518371814,Food & Beverage
RSGK.JK,-0.1129755544,-0.1022127257,-0.1387153944,-0.0652208165,-0.0190423609,Helathcare Equipment & Providers
RUIS.JK,-0.1517073361,-0.0944804553,-0.1508284964,-0.0649522526,-0.0215732616,"Oil, Gas, & Coal"
SAFE.JK,-0.0911338440,-0.1013345590,-0.1529640471,-0.0666901406,-0.0203123528,Transportation
SAME.JK,-0.2309598963,-0.0766489091,-0.0348881534,-0.0646699909,-0.0220184613,Helathcare Equipment & Providers
SAPX.JK,-0.2279186016,-0.1078956420,-0.1456689515,-0.0644922341,-0.0245712812,Logistics & Deliveries
SCMA.JK,-0.2104758824,0.0115378432,0.0713260161,-0.0649723492,0.0521403405,Media & Entertainment
SDMU.JK,-0.1066246156,-0.1020744013,-0.1475232903,-0.0647757045,-0.0173918180,Logistics & Deliveries
SDPC.JK,-0.1179847456,-0.0881299581,-0.1330885649,-0.0647668475,-0.0172252507, Food & Staples Retailing 
SFAN.JK,-0.2806940085,-0.1121466665,-0.1474744908,-0.0428551281,-0.0280946077,Holding & Investment Companies
SGER.JK,-0.0294598148,0.0459561787,-0.1466859697,-0.0651866350,0.1334261723,"Oil, Gas, & Coal"
SGRO.JK,0.9555475355,0.0570481363,-0.1353963761,-0.0661405286,0.0864418142,Food & Beverage
SHID.JK,-0.3243008066,-0.1039781091,-0.1101938412,-0.0641135783,-0.0302483473,Consumer Services
SHIP.JK,-0.2341049527,-0.1099571465,-0.1531028641,-0.0673361208,-0.0248328533,"Oil, Gas, & Coal"
SIDO.JK,-0.0924020907,0.1056614424,-0.1424500277,-0.0679731103,0.1938613790,Phramaceuticals & Helath Care
SILO.JK,0.1830139734,0.3334735763,0.7174293695,-0.0661085047,0.2538209843,Helathcare Equipment & Providers
SIMP.JK,-0.0194557444,0.2684712285,-0.0870582159,-0.0658489780,0.1445771071,Food & Beverage
SINI.JK,-0.3874971201,-0.1073291730,-0.1523584744,-0.0651148998,-0.0286314720,Industrial Goods
SIPD.JK,-0.2837800281,-0.1006069950,-0.1290864578,-0.0644490150,-0.0288204537,Food & Beverage
SKBM.JK,-0.2302890224,-0.0970219114,-0.1357329321,-0.0646961406,-0.0244929076,Food & Beverage
SKLT.JK,0.1018382416,-0.0886175808,-0.1376517658,-0.0650308499,-0.0069276359,Food & Beverage
SLIS.JK,-0.1902154931,-0.1032532093,-0.1518541086,-0.0652546673,-0.0199535565,Retailing
SMAR.JK,1.1970621094,0.3427795931,-0.0010878288,-0.0646608482,0.1863062410,Food & Beverage
SMBR.JK,-0.1804654603,-0.0579979090,-0.1135689002,-0.0655158996,0.0031305361,Basic Materials
SMCB.JK,0.2086413532,0.1505016599,-0.1387606157,-0.0656783426,0.1809777764,Basic Materials
SMDM.JK,-0.1366797626,-0.0905439779,-0.1481763010,-0.0662565331,-0.0008569517,Properties & Real Estate
SMGR.JK,1.2015346015,0.8153481244,0.5930166374,-0.0656331767,0.4744900920,Basic Materials
SMMT.JK,0.1129300220,-0.0591047663,-0.1498929019,-0.0654343842,0.0313958965,"Oil, Gas, & Coal"
SMRA.JK,-0.0266117318,0.2143578661,-0.0821874405,-0.0674324528,0.1513758327,Properties & Real Estate
SMRU.JK,-0.2632512893,-0.1240697736,-0.1524085378,-0.0614396816,-0.0435596533,"Oil, Gas, & Coal"
SMSM.JK,0.4993533403,0.1285958241,-0.1093555861,-0.0670777870,0.1923754731,Automobiles & Components
SOCI.JK,-0.2341295514,-0.1099598874,-0.1531007689,-0.0661123144,-0.0248350503,"Oil, Gas, & Coal"
SOHO.JK,-0.1044330945,-0.0194986529,-0.1076993451,-0.0649760768,0.0605906399,Phramaceuticals & Helath Care
SONA.JK,-0.3012227473,-0.0891796032,-0.0581363479,-0.0648726150,-0.0271019905,Retailing
SPMA.JK,0.0207966846,-0.0614488862,-0.1484122936,-0.0654317325,0.0162636073,Basic Materials
SPTO.JK,0.1877548150,-0.0406053263,-0.1021085477,-0.0656749287,0.0337574732,Industrial Goods
SQMI.JK,-0.2499232628,-0.1181914471,-0.1496041657,0.0658576814,-0.0374697610,Basic Materials
SRAJ.JK,-0.2484920653,-0.0714976551,-0.0732479560,-0.0648837234,-0.0336918050,Helathcare Equipment & Providers
SRIL.JK,-0.2341733818,-0.1099878104,-0.1531036107,-0.0606184764,-0.0248773255,Apparel & Luxury Goods
SRSN.JK,-0.1910205417,-0.0936699428,-0.1478655050,-0.0653277447,-0.0114899109,Basic Materials
SRTG.JK,-3.5885044477,-2.0763719623,-0.1516819963,-0.0751056773,-2.3598123114,Holding & Investment Companies
SSIA.JK,-0.0606026718,-0.0023889346,-0.0225523945,-0.0658104441,0.0157842966,Heavy Constructions & Civil
SSMS.JK,0.0063952600,0.1091378753,-0.0951331911,-0.0653754020,0.0930083352,Food & Beverage
STAR.JK,-0.2315905176,-0.1093456300,-0.1523869975,-0.0565036280,-0.0242090261,Holding & Investment Companies
STTP.JK,2.8989795318,0.0866647741,-0.1322008135,-0.0666111829,0.1862793028,Food & Beverage
SULI.JK,-0.2341508628,-0.1099675416,-0.1531040214,-0.0605684829,-0.0248403534,Basic Materials
SUPR.JK,4.2025768069,0.1107354269,-0.1438452308,-0.0717548704,0.2347388604,Telecommunication
SURE.JK,-0.5829897502,-0.1273862571,-0.1237754309,-0.0600612570,-0.0518237353,"Oil, Gas, & Coal"
TAMU.JK,-0.2341413141,-0.1099656757,-0.1531041814,-0.0634865063,-0.0248382530,"Oil, Gas, & Coal"
TAPG.JK,0.1281364952,0.2543146487,-0.1326318488,-0.0661953345,0.3451364484,Food & Beverage
TAXI.JK,-0.2359243625,-0.1106813036,-0.1530958197,-0.0550273803,-0.0257683463,Transportation
TBIG.JK,0.0749585640,0.5246500097,-0.1014996928,-0.0710593874,0.3341146567,Telecommunication
TCID.JK,0.1907513847,-0.0985048264,-0.1324208454,-0.0644359866,-0.0160683411, Nondurable Household Products 
TCPI.JK,-0.0731256497,-0.0584669517,-0.1414441313,-0.0662562505,0.0168862795,"Oil, Gas, & Coal"
TDPM.JK,-0.2341564311,-0.1099727335,-0.1531036960,-0.0564206916,-0.0248484690,Basic Materials
TEBE.JK,0.5320472576,-0.0566597387,-0.1515418200,-0.0691523635,0.0258043868,"Oil, Gas, & Coal"
TECH.JK,-0.2226410609,-0.1092067372,-0.1520520850,-0.0662106342,-0.0240939574,Software & IT Service
TELE.JK,-0.2878052710,-0.1186929182,-0.1422958803,-0.0641343977,-0.0453841983,Retailing
TFAS.JK,-0.2317202199,-0.1075676485,-0.1507470149,-0.0645579202,-0.0246325362,Software & IT Service
TFCO.JK,-0.2341322349,-0.1099643309,-0.1531041221,-0.0644435407,-0.0248363445,Apparel & Luxury Goods
TGKA.JK,1.9931657048,0.0012991943,-0.1137155957,-0.0648161819,0.0803051768,Food & Beverage
TGRA.JK,-0.2478211915,-0.1111279613,-0.1522491579,0.0103779435,-0.0267719026,Utilities
TIFA.JK,-0.1587291487,-0.0943274231,-0.1467213732,-0.0697119706,-0.0110579013,Financing Service
TINS.JK,-0.5024848922,-0.1459279020,-0.0902694333,-0.0639936051,-0.1282891910,Basic Materials
TIRT.JK,-0.3815934305,-0.1159654041,-0.1527017932,16.4722894607,-0.0325113306,Basic Materials
TKIM.JK,-0.2338880368,-0.1099240723,-0.1531030421,-0.0650538881,-0.0247975310,Basic Materials
TLDN.JK,-0.0780453910,0.0203837293,-0.1344476808,-0.0662791373,0.0790979877,Food & Beverage
TLKM.JK,0.8746848781,13.5892494567,-0.1461594284,-0.0676029431,5.5946433178,Telecommunication
TMAS.JK,-0.1715204761,0.0584774030,-0.1311061267,-0.0667068861,0.1552052798,Logistics & Deliveries
TOBA.JK,-0.2341308932,-0.1099520563,-0.1531017397,-0.0646643664,-0.0248352842,"Oil, Gas, & Coal"
TOPS.JK,-0.2778763385,-0.1622687374,-0.1501171392,-0.0467559953,-0.0997887339,Heavy Constructions & Civil
TOTL.JK,-0.0076483652,-0.0830052088,-0.1464981745,-0.0649367384,0.0148887519,Heavy Constructions & Civil
TOTO.JK,-0.1290765260,-0.0459669298,-0.1092684316,-0.0658290532,0.0309315883,Industrial Goods
TOWR.JK,0.0565766215,0.9930307019,-0.1461594284,-0.0708065120,0.7235443968,Telecommunication
TPIA.JK,-0.2341376019,-0.1099537053,-0.1531009538,-0.0642924461,-0.0248448274,Basic Materials
TPMA.JK,-0.2341048275,-0.1099610811,-0.1531039386,-0.0675505338,-0.0248325721,"Oil, Gas, & Coal"
TRAM.JK,-0.3079314855,-0.2525713295,-0.1304016234,-0.0619856536,-0.2132472067,"Oil, Gas, & Coal"
TRGU.JK,-0.2332408672,-0.0837857191,-0.1499385866,-0.0646916478,-0.0244790687,Food & Beverage
TRIM.JK,-0.1319389210,-0.0584364298,-0.1340964980,-0.0680322410,0.0125377451,Investment Service
TRIN.JK,-0.3229590589,-0.1343202548,-0.1473627807,-0.0472491885,-0.0455980208,Properties & Real Estate
TRIO.JK,-0.2535012565,-0.1095784701,-0.1456801559,-0.0641743524,-0.0507569273,Retailing
TRST.JK,-0.6232421792,-0.1214400916,-0.1460595530,-0.0642300940,-0.0808660398,Basic Materials
TSPC.JK,0.9331850749,0.2180883082,0.0601416300,-0.0652930873,0.2460334281,Phramaceuticals & Helath Care
UCID.JK,0.2354763058,0.0081868568,-0.0640272390,-0.0649820733,0.0751375186, Nondurable Household Products 
ULTJ.JK,0.2667837506,0.1674299648,-0.1221655755,-0.0662580155,0.2441424663,Food & Beverage
UNIC.JK,-0.2338737249,-0.1099597820,-0.1531031604,-0.0652010082,-0.0248319420,Basic Materials
UNSP.JK,-0.1219652635,-0.0589153732,-0.1189509826,-0.0646023478,-0.0104149126,Food & Beverage
UNVR.JK,0.3293986401,1.0633871003,0.2241407011,-0.0661297227,1.0796287884, Nondurable Household Products 
URBN.JK,-0.1991816814,-0.1035586977,-0.1490150653,-0.0654398272,-0.0190260179,Properties & Real Estate
VICI.JK,-0.1151670755,-0.0620887547,-0.1277414806,-0.0663960223,0.0162168663, Nondurable Household Products 
VICO.JK,-0.2187499928,0.1515678849,-0.1175898912,-0.0722031884,-0.0127906600,Holding & Investment Companies
VTNY.JK,-0.2329725177,-0.1076326067,-0.1458533877,-0.0650004708,-0.0244648168,Financing Service
WEGE.JK,-0.2123096042,-0.0901087208,-0.1527426580,-0.0650312424,-0.0140931777,Heavy Constructions & Civil
WEHA.JK,-0.1357405392,-0.0994477098,-0.1406025479,-0.0662348736,-0.0175392291,Transportation
WIIM.JK,0.8325540024,0.0044270635,-0.1344988454,-0.0657543136,0.0888805572, Tobaco 
WIKA.JK,-3.2539227202,-0.8963117894,-0.1032430620,-0.0648412531,-1.6647085911,Heavy Constructions & Civil
WINS.JK,-0.2341285227,-0.1099635085,-0.1531039923,-0.0655771983,-0.0248355679,"Oil, Gas, & Coal"
WIRG.JK,-0.2081949114,-0.0890455028,-0.1332827169,-0.0648380176,-0.0089595383,Software & IT Service
WMPP.JK,-0.3672367308,-0.2120793964,-0.0825062456,-0.0572769398,-0.2262767388,Food & Beverage
WMUU.JK,-0.3101677315,-0.1350476099,-0.1347778922,-0.0594793301,-0.0754502623,Food & Beverage
WOOD.JK,-0.1661982105,-0.0408006425,-0.1448576933,-0.0662029359,-0.0025197875,Household Goods
WSBP.JK,-0.2334197669,-0.0496271942,-0.0592303857,-0.0593245124,-0.0233877102,Basic Materials
WSKT.JK,-0.8195398579,0.0511358921,0.1555446006,-0.0636237178,-0.8922243762,Heavy Constructions & Civil
WTON.JK,-0.2166031966,-0.0905523961,-0.1475939537,-0.0649104292,-0.0169862465,Basic Materials
YPAS.JK,-0.1804654603,-0.1076045660,-0.1525212853,-0.0648068686,-0.0229444716,Basic Materials
ZBRA.JK,-0.4810616550,-0.0927510466,-0.0690563425,-0.0644112925,-0.0567268996,Multi Sector Holdings
ZINC.JK,-0.2378028092,-0.0990385443,-0.1430939869,-0.0643502534,-0.0295985940,Basic Materials
